ime,drz,zvrst,leto,status
The Blackest Incarnation,Mexico,Black/Death Metal,2006,Split-up
Exhort,France,Death Metal,1997,Active
The Atrocity Exhibit,United Kingdom,Grindcore/Death Metal,2005,Active
Hydrotoxin,Germany,Progressive Metal,1995,Active
Avoiding X,United States,Groove/Heavy Metal/Rock,2006,Active
Desperate Cry,United States,Thrash/Groove Metal,N/A,Changed name
Nasty Fire,Chile,Heavy Metal/Hard Rock,2006,Active
Samothrace,United States,Stoner/Doom Metal with Crust influences,2006,Active
Dissent,United States,Crossover/Thrash Metal/Crust,2005,Split-up
Eardrum,Japan,Death Metal,2006,Split-up
Dwell Within,United States,Doom Metal,2005,Split-up
Murkrat,Australia,"Doom/Gothic Metal, Funeral Doom Metal",2006,Active
Embers,United States,Black/Doom Metal/Crust,2004,Split-up
é»å¢,China,Thrash Metal,2002,Split-up
Deprogrammazione,Italy,Grindcore/Black Metal,2003,Active
Ghost of Metal Past,United States,Power/Thrash Metal,N/A,Active
Nefastoreth,Italy,Black Metal,2002,Active
Time Treachery,Croatia,Melodic Death Metal,2007,Unknown
Radio Hell,Italy,Heavy Metal,2000,Unknown
Witchburn,United States,Stoner/Doom Metal,2006,Active
Winterfylleth,United Kingdom,Black Metal,2007,Active
Drown Syndrome,Finland,Stoner Metal,N/A,Split-up
Razorblend,Finland,Stoner Metal,1999,Active
Sacellum Luciferi,Finland,Black Metal,N/A,Unknown
Deathmass,United States,Thrash/Doom Metal,N/A,Split-up
Sycorax,United Kingdom,Death/Groove Metal,2006,Active
Forgotten,Indonesia,Brutal Death Metal,1994,Active
Blackalexxx,Italy,Heavy Metal/Progressive,2005,Active
Valu,Finland,Death/Doom Metal,2005,Active
Further Dimension,France,Progressive/Heavy Metal,2005,Active
Elimination,United States,Thrash Metal/Crossover,1988,Split-up
MP5K,Sweden,Brutal Death Metal,2006,Split-up
Martyrd,United States,Thrash Metal,2003,Active
Warlord,France,Death/Black Metal,1998,Changed name
Wicked Waltz,United States,Progressive/Power Metal,2004,Active
Human Suit,Germany,Thrash Metal,2005,Split-up
Darkmere,Poland,Progressive Metal,2005,Active
Loculo,Italy,Thrash Metal,2003,Active
Dissentient,Canada,"Black/Death Metal (early), Progressive Death Metal (later)",2005,Active
Preceptor,Brazil,Death Metal,2004,Active
Three Faces of Eve,United States,Death Metal/Grindcore,2002,Active
Corrupted Faith,Canada,Melodic Death Metal,2005,Active
Influenza Harlekin,Germany,Death Metal/Metalcore,2005,Unknown
Equinox,United Kingdom,Power Metal,2006,Active
Sudden Access,Netherlands,Thrash Metal/Hardcore,2002,Split-up
Cut Throats Nine,Sweden,Death/Thrash Metal,2007,Split-up
Burnitude,Sweden,Heavy Metal/Hard Rock,1998,Active
Voodoo Moonshine,United States,Heavy Metal/Hard Rock,N/A,Active
Salome,United States,Sludge/Doom Metal,2006,Split-up
Prickrott,Netherlands,Industrial Black Metal/Grindcore,2005,Active
Homestell,France,Death/Groove Metal,2000,Active
Lost in Lunacy,Sweden,"Death Metal, Industrial Metal",1995,Split-up
Hatecraft,Italy,Black Metal,2007,Split-up
Saturnalia Temple,Sweden,Stoner/Doom Metal,2006,Active
Hemosu,"Korea, South",Heavy Metal/Hard Rock,N/A,Unknown
Lucifer's Legion,Australia,Black Metal,2004,Active
Erzsebet,Chile,Black/Doom Metal,2003,Unknown
Field of Illusion,France,Death/Thrash Metal/Hardcore,1998,Split-up
Dave Feinstein,United States,Heavy Metal,1978,Split-up
Mikas Pussy,Portugal,Death Metal/Alternative,2004,Active
Setting Fire to Yours Truly,United States,Melodic Death Metal/Metalcore,N/A,Split-up
Fast 'n Lose,Germany,Heavy Metal,2005,Active
Shine,Germany,Melodic Heavy Metal/Hard Rock,2004,Split-up
ÃldÃ¶ds,Sweden,Death Metal,2007,Active
BÃ¶ld,Sweden,Death Metal,2005,Split-up
Sudden Relapse,United States,Thrash Metal,N/A,Split-up
Fenriswolf,Germany,Heavy Metal,1993,Split-up
Zyanide,Switzerland,Melodic Thrash/Death Metal,2005,On hold
Athory Emic,Sweden,Melodic Death/Groove Metal,2006,Split-up
Kivutar's Burden,Australia,Melodic Death/Folk Metal,2006,On hold
Hnilobny Zakusok,Slovakia,Brutal Death Metal/Grindcore,N/A,Split-up
Sadistic Mutilation,Colombia,Brutal Death Metal/Grindcore,2005,Active
Skin Chamber,United States,Industrial Metal,1991,Split-up
Blind Tharm,Norway,Progressive Death Metal,N/A,Active
Pillager,United States,Thrash Metal,2004,On hold
Blood and Disaster,Colombia,Black Metal,2003,Active
Blackthorne,United States,Heavy Metal/Hard Rock,1991,Split-up
Beneath the Light,United Kingdom,Experimental Gothic/Doom Metal with Ambient influences,2006,Active
Depths of Desecration,Hungary,Melodic Death Metal,2005,Active
Self Mastery,Hungary,Heavy Metal/Hard Rock,N/A,Split-up
Inarborat,Germany,Black Metal,2006,Split-up
ÐÐºÑÑÑÐ¼Ð°ÑÐ¾Ñ,Bulgaria,Black/Death/Thrash Metal,1992,Active
Genocidio,Chile,Death/Thrash Metal,1997,Split-up
Epitaph,Finland,Thrash Metal,N/A,Split-up
Flesh Engine,United States,Thrash Metal,2005,Active
Tanator,Ecuador,Thrash/Death Metal,1999,Active
Noiszart,Colombia,Progressive Metal,2000,Active
Weapon,Portugal,Black/Folk Metal,2005,Active
The Dreaming Dead,France,Melodic Death Metal,2007,Active
Freehand Arson,United States,Melodic Death Metal,2006,Active
Sublivion,United States,Thrash/Heavy Metal,1993,Split-up
Spasm,Czech Republic,Brutal Death Metal/Goregrind,2000,Active
Masina,Hungary,Heavy Metal/ Hard Rock,N/A,On hold
Astraea,Japan,Power Metal,N/A,Active
Lowfellow,Hungary,Southern/Stoner Metal,2005,Unknown
Chronicus,Chile,Death Metal/Grindcore,2006,Active
Bersatott,Germany,Black Metal,N/A,Unknown
Model 101,Netherlands,Technical Groove Metal,2002,Split-up
Minkions,Italy,Thrash Metal/Crossover,2006,Split-up
Irae,France,Melodic Death Metal,2006,Split-up
Inferi Gloria,France,Black/Death Metal,N/A,Active
The Siege of Kvatch,Malaysia,Melodic Death Metal,2006,Unknown
Alarion,Netherlands,Progressive Metal,2005,Active
Seven Kingdoms,United States,Power/Thrash Metal,2007,Active
Ancestral,Chile,Death Metal,2000,Active
Intestinal Alien Reflux,United States,Brutal Death Metal,2006,Active
Diavolo,United States,Death Metal/Grindcore/Metalcore,2005,Split-up
Juggernaut,France,Brutal Deathcore,2002,Active
Arteus,Colombia,Heavy Metal/Hard Rock,2003,Active
Intorment,New Zealand,Black Metal,N/A,Split-up
Voluntary,Germany,Power Metal,N/A,Split-up
Tripod,Sweden,Power/Heavy Metal,N/A,Split-up
Mortifer,Slovakia,Heavy Metal,N/A,Unknown
Dogma Inc.,Slovakia,Thrash Metal/Hardcore/Grindcore,2001,Active
Euphoria,Germany,Heavy Metal,N/A,Split-up
Chaos Descends,Germany,Death/Thrash Metal,2004,Active
Blackout,United Kingdom,Thrash/Death Metal,2003,Split-up
Metal MilÃ­cia,Brazil,Heavy Metal,2001,Active
Hellgium,Belgium,Black/Death Metal,2006,Changed name
Ignorance,Czech Republic,Thrash/Groove Metal,2003,Active
Gelap,Indonesia,Pagan Black Metal,2004,Split-up
Sick of Society,Germany,"Thrash Metal/Crossover (early), Hardcore (later)",1993,Active
Ahnenerbe,Germany,Pagan/Death Metal with RAC Influences,2003,Active
Aliens,Hungary,Heavy/Thrash Metal,N/A,Split-up
Nion,Germany,Gothic Metal,N/A,Active
Kasl,United States,Heavy Metal,1987,Split-up
Japanese Hell Beast,United Kingdom,Death Metal/Grindcore,2005,Unknown
Insect,Canada,Blackened Deathcore,2004,Active
(drama),Croatia,Sludge/Doom Metal,2004,Active
Hot Buttered Anal,United States,Thrash Metal/Crossover,2005,Active
Asthenia,Netherlands,Gothic Metal,2004,Split-up
Age of Kings,Isle of Man,Progressive Metal,2005,Unknown
Pegasus,United Kingdom,Heavy Metal/Hard Rock,1984,Active
Severence,United Kingdom,Death Metal,2006,Active
Cold Grave,Germany,Black Metal,2006,Active
Maroon Quince,Poland,Technical Thrash/Groove Metal,2003,Split-up
Wicked Power,Germany,Thrash Metal/Crossover,1989,Changed name
Vasmacska,Hungary,Heavy/Speed Metal,N/A,Split-up
All Remains Insane,Switzerland,Melodic Thrash Metal/Metalcore,2006,Split-up
Beast Underneath,Sweden,Death Metal,N/A,Active
Crowned by Fire,United States,Southern/Stoner  Metal,2006,Active
Foxx,United Kingdom,Thrash Metal,1987,Split-up
Disaster,Slovakia,Thrash Metal,N/A,Split-up
The Black Chain,United Kingdom,Death Metal/Grindcore/Metalcore,2005,Split-up
Elaborate the Silence,United States,Death Metal/Deathcore,2006,Changed name
Kathar,Finland,Death/Thrash Metal/Grindcore,2006,Changed name
Narednik Lobanja i Vod Smrti,Croatia,Death/Thrash Metal,2007,Active
Line of Sight,France,Deathcore,2004,Active
Malignant Wizard,El Salvador,Black Metal,2004,Active
Fearless,Mexico,Heavy Metal,2007,Split-up
Templo,Argentina,Heavy Metal/Hard Rock,1999,Active
Disembodiment,United States,Death Metal,2007,Split-up
Morganom,Netherlands,Death Metal,N/A,Split-up
P.L.F.,United States,Grindcore,1999,Active
Salem's Lot,Netherlands,Death Metal,N/A,Split-up
Gigan,United States,Progressive/Technical Death Metal,2006,Active
Famine,United States,Black Metal,2006,Active
Corrosion,Chile,Thrash Metal,2007,Split-up
Bravestaker,Japan,Heavy Metal,2000,Split-up
Rogers Met an Iranian,United States,Brutal Death Metal/Grindcore,2005,Split-up
Our Final Chapter,United States,Death Metal/Grindcore,2001,Split-up
A Day of Pigs,United States,Sludge Metal,N/A,Split-up
Morged,Hungary,Heavy/Speed Metal,N/A,Split-up
Precious Metal,Hungary,Progressive Metal,N/A,Split-up
Kali,Germany,Thrash Metal,1997,Split-up
Jewicide,France,Black Metal,2000,Split-up
Mamut,Hungary,Heavy Metal,2006,Active
Faces,Hungary,Heavy Metal,1995,Split-up
Night Soil,United States,Death Metal,2001,Active
Agnostica,Peru,Progressive Metal,2005,Unknown
Rival,Hungary,Thrash Metal,N/A,Split-up
Industrial Estate,Sweden,Industrial Black/Death Metal,2006,Active
Tranquilizer,United States,Doom/Stoner Metal,2005,Active
Acoma,United States,Groove Metal,2006,Active
Sixgun Symphony,United States,Heavy Metal,N/A,Active
MegaMAG,Hungary,Groove Metal,2005,Active
Dementor,Peru,Thrash Metal,2006,Active
Silent Quake,Germany,Progressive/Power Metal,2003,Active
The Foreshadowing,Italy,Gothic/Doom Metal,2005,Active
Acid Rain,Argentina,Progressive Metal,2002,On hold
CarroÃ±a,Argentina,Heavy Metal,2002,Split-up
Ante Mortem,Finland,Symphonic Power Metal,2006,Active
Rotor,Indonesia,Thrash Metal,1991,On hold
Crucifer,United Kingdom,Heavy Metal,N/A,Split-up
Stitch,United Kingdom,Southern Rock/Metal,2003,Split-up
Murakami,United Kingdom,Metalcore,2007,Active
Vengeance,United Kingdom,Heavy Metal,N/A,Changed name
Sinical Saint,United States,Speed/Thrash Metal,N/A,Split-up
Sword Toward Self,Australia,Death/Black Metal,2006,On hold
Khristenn Corpse,Venezuela,Black Metal,2003,Active
Fatalist,United States,Death Metal,2006,Active
DamÃ¯r GÃªddes,Spain,Symphonic Extreme/Power Metal,2003,Active
Bonesaw,Australia,Death Metal,2005,Active
Dislike,Croatia,Grindcore/Death Metal/Crust,1997,Active
The Crisis Therapy,Australia,Thrash/Death Metal,N/A,Active
Far Beyond Driven,South Africa,Groove Metal,2006,Active
Chromium,South Africa,Groove Metal/Metalcore,2005,Active
Devian,Sweden,Black/Death/Thrash Metal,2006,Split-up
Beholding Signs,Mexico,Death Metal,1994,Active
Mischosen,Croatia,Doom/Black Metal,2004,Active
Cranial Mutilation,United States,Death Metal,2005,Split-up
Tzaraath,United States,Black/Thrash Metal,2006,Split-up
Darkkam,Spain,Power/Thrash Metal,2004,Active
Hail!Hornet,United States,Sludge Metal,2006,Active
Ancient Influence,South Africa,Power Metal,2003,Active
Animae Vector,Italy,Gothic Metal,2005,Unknown
Sophia,Sweden,Martial Industrial,1997,Active
Glass Spires,Spain,Progressive Metal,2004,Active
Holster,France,Heavy Metal/Hard Rock,1979,Split-up
Sorg Uten TÃ¥rer,Turkey,Melodic Folk/Black Metal,2006,Active
Candy Drugers,Japan,Power Metal,2005,Active
Inside Tragedy,Japan,Symphonic/Speed Metal,2005,Active
Eternal Scapegoat,International,Gothic/Doom Metal,2006,Active
Hatred Angel,Japan,Melodic Death Metal,1999,Active
Supawide,United States,Sludge/Stoner Metal,2003,Split-up
Wretched Vermin,United States,Death Metal/Grindcore,2006,Split-up
Quietus,Netherlands,Black Metal,1992,Split-up
Ixion,France,Atmospheric Doom Metal,2004,Active
Tormentor Squad,Finland,Thrash Metal,2006,Active
Scarlet Bride,United States,Melodic Power Metal,N/A,Split-up
Mutiny,United States,Melodic Heavy Metal/Hard Rock,N/A,Split-up
Warwitch,United States,Thrash Metal,1984,Split-up
Those Who Bring the Torture,Sweden,Death Metal,2007,Split-up
Room 101,United States,Doom Metal,N/A,Split-up
Uglystick,United States,Heavy/Groove Metal,1989,Split-up
The End,United States,Heavy Metal,N/A,Split-up
Danse Macabre,United States,Doom Metal,N/A,Split-up
Judgement,United States,Thrash Metal,1987,Split-up
Bellicose,United States,Melodic Heavy Metal,1983,Active
Asiel Dama,United States,Heavy Metal,N/A,Split-up
Iron Cross,United States,Melodic Heavy Metal,N/A,Split-up
Intense Regret,United States,Thrash Metal,1987,Split-up
Eligor,Chile,Black Metal,2004,Active
Asteroth,United States,Heavy/Power Metal,N/A,Changed name
Refractory Period,United States,Thrash Metal/Crossover,1990,Split-up
Bisonhammer,United Kingdom,Death/Groove Metal,N/A,Split-up
Goatman's Bridge,United States,Heavy Metal with Blues influences,N/A,Split-up
Sixkiller,United States,Heavy Metal/Hard Rock,N/A,Split-up
Max Panic,United States,Heavy Metal,1989,Split-up
Tearless,Croatia,Gothic Metal,2003,Active
Sixkiller Zero,United Kingdom,Experimental Thrash/Groove Metal,2001,Active
Fortress,United States,Thrash Metal,N/A,Split-up
Zwavel,Netherlands,Black Metal,2000,Split-up
Malicious Mischief,United States,Thrash Metal,N/A,Split-up
Edge of Damnation,Australia,Black/Thrash Metal,2006,Active
Autumn Sun,South Africa,Gothic/Melodic Death Metal,2006,Active
Helvetespine,Norway,Black Metal,2004,Active
Anointed,Sweden,Black Metal,2006,Active
Spice and the RJ Band,Sweden,Stoner Metal,2007,Changed name
Serpent Saints,Denmark,Heavy/Speed Metal,2004,Split-up
Thy Will Be Done,United States,Metalcore/Groove Metal,2005,Active
Merzah,United States,Progressive Death/Black Metal,2005,Changed name
Diemona,United States,Death/Thrash Metal,2006,Split-up
Forbidden Citadel of Spirits,Australia,Black Metal,2006,Active
Belligerent,United States,Death/Thrash Metal,2004,Active
Broadslab,United States,Heavy/Thrash/Southern Metal,2006,Active
Umbra Chaotica,Germany,Heavy Metal,2002,Unknown
Assassinated,Germany,Black Metal,2006,Split-up
Asfixia,Spain,Thrash Metal,2001,On hold
Maxxx,United States,Heavy Metal,N/A,Split-up
Trenchfoot,Belgium,Thrash Metal/Crossover,1999,Active
Scandium,Germany,Thrash Metal,N/A,Split-up
Camelot,Mexico,"Hard Rock (early), Heavy Metal (later)",1994,Changed name
Healer,Germany,Heavy Metal/Hard Rock,N/A,Split-up
Inefable,Argentina,Heavy Metal,2006,Split-up
Detriment,Australia,Heavy Metal/Hard Rock,1988,Split-up
Maelstrom,Australia,Thrash Metal,1990,Changed name
Night Wolf,France,Heavy Metal,N/A,Split-up
Lux Luciferi,Russia,Black/Death Metal,N/A,Split-up
Shabby Trick,Italy,Heavy Metal,1985,Active
Twizted Toyz,Germany,Melodic Heavy Metal,1992,Split-up
White Fury,France,Power Metal,N/A,Split-up
A Band of Orcs,United States,Death/Thrash Metal,2007,Active
Invader,Hungary,Heavy/Speed Metal,2005,Active
Sicitur Adastra,Hungary,Melodic Death/Gothic Metal,2006,Unknown
Anthropophagic Gastralgia,United Kingdom,Death Metal/Goregrind,2005,Active
Misery Dhope,France,Death/Groove Metal,2004,Changed name
When the Empire Falls,Finland,Melodic Heavy/Power Metal,2007,Active
Morphisem,France,Black/Death Metal,1995,Active
ÐÐ¾ÑÐµÐ½Ð°,Russia,Thrash/Pagan Metal,2001,Active
Wasteland,United Kingdom,Black Metal,2005,Active
Leichen,Brazil,Death Metal,1998,Split-up
Havoc,Brazil,Thrash Metal,N/A,Split-up
Nightmare,Brazil,Thrash/Death Metal,1987,Split-up
Guillotine,Brazil,Thrash Metal,1987,Split-up
Children of Sodom,Germany,Doom/Death Metal/Grindcore,2002,Changed name
Masters of Luxury,United States,Stoner/Sludge Metal,N/A,Active
Rust,Sweden,Black/Thrash Metal,2006,Active
Pedo,Argentina,Death/Thrash Metal/Punk,2007,Active
Oxlahun,Mexico,Death Metal,2005,Split-up
Billy Goat,Spain,Heavy/Power Metal,2000,Split-up
Heart of Cygnus,United States,Progressive Metal/Rock,2005,Split-up
Reino de Hades,Spain,Melodic Heavy Metal,2001,Active
Morgana-X,Netherlands,Progressive Metal,2001,Changed name
Pyrimor,Slovakia,Heavy Metal/Hard Rock,2001,Active
Detest,Belgium,Black/Death Metal,2007,Active
Darkness Foretold,United States,Melodic Thrash/Death Metal,2003,Unknown
Select and Dissect,New Zealand,Death Metal,2005,Split-up
The Wizard of Doom,Sweden,Doom/Death Metal,2007,Active
Lebensabend,Russia,Black Metal,2005,Active
Inferialis,Moldova,Gothic/Doom Metal,1996,Split-up
BlÃ¼dd,United States,Gothic Metal,N/A,Active
Dracony,Spain,Power Metal,1999,Active
Asalto,Chile,Groove Metal/Metalcore,2005,Unknown
Mercenary,Germany,Thrash Metal,1987,Split-up
Burning Ambition,Germany,Melodic Speed Metal,N/A,Split-up
Fourever,Sweden,Heavy Metal,2000,Active
Calibre Zero,Spain,Heavy Metal/Hard Rock,2005,Active
Fate of Pyre,Germany,Melodic Black/Death Metal,2004,Split-up
Lost Rose,Germany,Heavy/Thrash Metal,2001,Split-up
Hellscape,Germany,Death/Thrash Metal with Alternative Rock influences,2005,Split-up
Sagansara,Turkey,Raw Black Metal,1999,Changed name
Iron Head,Germany,Heavy Metal,2004,Changed name
Monegarn,France,Melodic Death Metal,2001,Split-up
Mate Cosido,Argentina,Groove Metal,N/A,Split-up
By Demons Be Driven,United States,Melodic Death/Thrash Metal,2006,Active
Eden Myrrh,Canada,"Heavy Metal, Shred",1991,Active
Steve Grimmett,United Kingdom,Heavy Metal,2006,Active
Road to Ruin,Sweden,Heavy Metal/Hard Rock,2005,Active
Elk Veri,Australia,Black/Folk/Viking Metal,2007,Unknown
Incineration,United States,Death Metal,1993,Active
Pyosisified,Mexico,Death Metal,1994,Active
Scour,Mexico,Death Metal/Grindcore,N/A,Split-up
Momentum,Czech Republic,Progressive Metal,2003,Active
Nekron,Argentina,Death Metal,2006,Active
Blaze of Sorrow,Italy,Atmospheric Black/Folk Metal,2007,Active
PistÃ¶ns,Italy,Speed/Heavy Metal/Punk,2003,Active
Oroz,Serbia,Heavy Metal,2005,Unknown
Devathorn,Greece,Black Metal,2002,Active
Imperious Rex,United States,Power/Speed Metal,2005,Active
Scarscab,Germany,Thrash/Groove Metal,2002,Active
SinnestÃ¤ter,Germany,Atmospheric Black Metal with Darkwave elements,2007,Unknown
Malicious Prophecies,Mexico,Death/Thrash/Black Metal,1991,Split-up
Backstage,France,Thrash Metal,N/A,Split-up
Bleeder,United Kingdom,Death/Black Metal/Grindcore,2006,Split-up
Stab Your Mistress,France,Death/Thrash Metal,2005,Split-up
Nargothrond,Greece,Black Metal,2001,Active
Skulldust,France,Heavy/Thrash Metal,1999,Active
Symposium,France,Progressive/Death Metal,2003,Active
Shades of Syn,France,Melodic Death Metal,2005,Active
Mentor,Portugal,Melodic Thrash Metal,2000,Active
Dr Doom,Netherlands,Death Metal/Grindcore,2007,Split-up
Fal-Tor-Voh,Netherlands,Stoner/Doom Metal,2002,Changed name
Disdained,Serbia,Technical Death Metal,2006,Split-up
T.A.N.K,France,Melodic Death/Thrash Metal,2007,Active
Dawn of Retaliation,Norway,Death Metal,2005,Active
Tortured Soul,France,Death Metal,2005,Split-up
Jex Thoth,United States,"Psychedelic Rock, Doom Metal",2007,Active
